Sat_Num	Year	Month	Day	Hour	Minute	Second	SV_Clock_Bias	SV_Relative_Frequency_Bias	Message_Transmission_Time	Sat_X_Pos	Sat_X_Velocity	Sat_X_Acc	Sat_Health	Sat_Y_Pos	Sat_Y_Velocity	Sat_Y_Acc	URA	Sat_Z_Pos	Sat_Z_Velocity	Sat_Z_Acc	IODN
S36	2021	8	13	11	49	4	0.000000000000e+00	0.000000000000e+00	4.745440000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.200000000000e+01
S36	2021	8	13	11	51	12	0.000000000000e+00	0.000000000000e+00	4.746720000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.300000000000e+01
S23	2021	8	13	11	52	32	0.000000000000e+00	0.000000000000e+00	4.747520000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.010000000000e+02
S36	2021	8	13	11	53	20	0.000000000000e+00	0.000000000000e+00	4.748000000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.400000000000e+01
S23	2021	8	13	11	54	40	0.000000000000e+00	0.000000000000e+00	4.748800000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.020000000000e+02
S36	2021	8	13	11	55	28	0.000000000000e+00	0.000000000000e+00	4.749280000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.500000000000e+01
S23	2021	8	13	11	56	48	0.000000000000e+00	0.000000000000e+00	4.750080000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.030000000000e+02
S36	2021	8	13	11	57	36	0.000000000000e+00	0.000000000000e+00	4.750560000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.600000000000e+01
S23	2021	8	13	11	58	56	0.000000000000e+00	0.000000000000e+00	4.751360000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.040000000000e+02
S36	2021	8	13	11	59	44	0.000000000000e+00	0.000000000000e+00	4.751840000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.700000000000e+01
S23	2021	8	13	12	1	4	0.000000000000e+00	0.000000000000e+00	4.752640000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.050000000000e+02
S36	2021	8	13	12	1	52	0.000000000000e+00	0.000000000000e+00	4.753120000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.800000000000e+01
S23	2021	8	13	12	3	12	0.000000000000e+00	0.000000000000e+00	4.753920000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.060000000000e+02
S36	2021	8	13	12	4	0	0.000000000000e+00	0.000000000000e+00	4.754400000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.900000000000e+01
S23	2021	8	13	12	5	20	0.000000000000e+00	0.000000000000e+00	4.755200000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.070000000000e+02
S36	2021	8	13	12	6	8	0.000000000000e+00	0.000000000000e+00	4.755680000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.000000000000e+01
S23	2021	8	13	12	7	28	0.000000000000e+00	0.000000000000e+00	4.756480000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.080000000000e+02
S36	2021	8	13	12	8	16	0.000000000000e+00	0.000000000000e+00	4.756960000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.100000000000e+01
